data_coleta,titulo,resumo,instituicao,nivel,area,vagas,inscricoes_inicio,inscricoes_fim,url,status,data_publicacao,fonte,banca,salario_max
2026-06-06T17:25:59.810Z,Editais Abertos para Dentistas 2026 — 21 Concursos Detalhados | Odon Concursos,Cargo: Cir. Dentista (cód. 020). Requisito: Ensino Superior em Odontologia + registro no Conselho de Classe. Disciplinas: Língua Portuguesa (10 q) · ...,Gov Bahia (SEC),Superior,Dentista / Odontologia,287,2026-01-15T00:00:00.000Z,2026-08-23T00:00:00.000Z,https://odonconcursos.com.br/noticia/editais-abertos-para-dentista,Aberto,2026-06-02T17:18:30.693Z,Diário Oficial de Gov Bahia (SEC),FGV,17000
2026-06-06T17:25:59.810Z,Concursos com vagas para Cirurgião - Dentista,"Concursos com vagas para Cirurgião - Dentista ... AMAZUL - Amazônia Azul Tecnologia de Defesa S.A.. 238 vagas até R$ 6110,00. Vários Cargos Técnico / Superior.",Gov Bahia (SEC),Médio,Dentista / Odontologia,1660,2026-01-08T00:00:00.000Z,2026-08-27T00:00:00.000Z,https://www.pciconcursos.com.br/vagas/cirurgiao-dentista,Aberto,2026-06-02T17:18:30.693Z,Diário Oficial de Gov Bahia (SEC),FCC,23154.14
2026-06-06T17:25:59.810Z,Concurso Odontologia: vagas abertas e editais previstos!,"Quer ficar por dentro dos concurso para Dentista? Confira os editais ... Tecnologia da Informação, TRE-SP, Tribunais, Tribunais de Contas ...",Gov Bahia (SEC),Superior,Dentista / Odontologia,8,2026-06-04T17:18:30.693Z,2026-06-21T17:18:30.693Z,https://www.estrategiaconcursos.com.br/blog/concurso-odontologia/,Aberto,2026-06-02T17:18:30.693Z,Diário Oficial de Gov Bahia (SEC),FGV,9745.26
2026-06-06T17:48:08.034Z,Concurso PM BA e CBM BA Saúde 2026: Oportunidade Estratégica para Cirurgiões-Dentistas - Cursos CD C,Concurso PM BA e CBM BA Saúde 2026 para dentistas. Veja oportunidades ... O dentista militar também participa de inspeções e perícias ...,Gov Bahia (SEC),Superior,Dentista / Odontologia,12,2026-06-04T17:39:18.213Z,2026-06-21T17:39:18.213Z,https://cdconcursos.com.br/blog/concurso-pm-ba-e-cbm-ba-saude-2026-oportunidade-estrategica-para-cirurgioes-dentistas/,Aberto,2026-06-02T17:39:18.213Z,Diário Oficial de Gov Bahia (SEC),Instituto AOCP,11006.5
2026-06-06T17:48:08.034Z,Concursos com vagas para Cirurgião - Dentista,"Concursos com vagas para Cirurgião - Dentista ... AMAZUL - Amazônia Azul Tecnologia de Defesa S.A.. 238 vagas até R$ 6110,00. Vários Cargos Técnico / Superior.",Gov Bahia (SEC),Médio,Dentista / Odontologia,1660,2026-01-08T00:00:00.000Z,2026-08-27T00:00:00.000Z,https://www.pciconcursos.com.br/vagas/cirurgiao-dentista,Aberto,2026-06-02T17:39:18.213Z,Diário Oficial de Gov Bahia (SEC),A definir,23154.14
2026-06-06T19:57:24.106Z,Concursos com vagas para Cirurgião - Dentista,"Concursos com vagas para Cirurgião - Dentista ... AMAZUL - Amazônia Azul Tecnologia de Defesa S.A.. 238 vagas até R$ 6110,00. Vários Cargos Técnico / Superior.",Gov Bahia (SEC),Médio,Dentista / Odontologia,1660,2026-01-08T00:00:00.000Z,2026-08-27T00:00:00.000Z,https://www.pciconcursos.com.br/vagas/cirurgiao-dentista,Aberto,2026-06-02T19:51:40.236Z,Diário Oficial de Gov Bahia (SEC),A definir,23154.14
2026-06-06T19:57:24.106Z,Concurso PM BA e CBM BA Saúde 2026: Oportunidade Estratégica para Cirurgiões-Dentistas - Cursos CD C,Concurso PM BA e CBM BA Saúde 2026 para dentistas. Veja oportunidades ... O dentista militar também participa de inspeções e perícias ...,Gov Bahia (SEC),Superior,Dentista / Odontologia,12,2026-06-04T19:51:40.236Z,2026-06-21T19:51:40.236Z,https://cdconcursos.com.br/blog/concurso-pm-ba-e-cbm-ba-saude-2026-oportunidade-estrategica-para-cirurgioes-dentistas/,Aberto,2026-06-02T19:51:40.236Z,Diário Oficial de Gov Bahia (SEC),Instituto AOCP,11006.5
2026-06-06T19:57:24.106Z,Editais Abertos para Dentistas 2026 — 21 Concursos Detalhados | Odon Concursos,"Vagas, cargo e remuneração. O processo oferece 22 vagas para Cirurgião-Dentista 40h, entre clínico geral e especialista, com salário de R$ 12.963,80.",Gov Bahia (SEC),Superior,Dentista / Odontologia,287,2026-01-15T00:00:00.000Z,2026-08-23T00:00:00.000Z,https://odonconcursos.com.br/noticia/editais-abertos-para-dentista,Aberto,2026-06-02T19:51:40.236Z,Diário Oficial de Gov Bahia (SEC),FGV,17000
2026-06-06T21:40:45.423Z,Concurso PM BA e CBM BA Saúde 2026: Oportunidade Estratégica para Cirurgiões-Dentistas - Cursos CD C,Concurso PM BA e CBM BA Saúde 2026 para dentistas. Veja oportunidades ... O dentista militar também participa de inspeções e perícias ...,Gov Bahia (SEC),Superior,Dentista / Odontologia,12,2026-06-04T21:34:41.527Z,2026-06-21T21:34:41.527Z,https://cdconcursos.com.br/blog/concurso-pm-ba-e-cbm-ba-saude-2026-oportunidade-estrategica-para-cirurgioes-dentistas/,Aberto,2026-06-02T21:34:41.527Z,Diário Oficial de Gov Bahia (SEC),Instituto AOCP,11006.5
2026-06-06T21:40:45.423Z,Concursos com vagas para Cirurgião - Dentista,"Concursos com vagas para Cirurgião - Dentista ... AMAZUL - Amazônia Azul Tecnologia de Defesa S.A.. 238 vagas até R$ 6110,00. Vários Cargos Técnico / Superior.",Gov Bahia (SEC),Médio,Dentista / Odontologia,1660,2026-01-08T00:00:00.000Z,2026-08-27T00:00:00.000Z,https://www.pciconcursos.com.br/vagas/cirurgiao-dentista,Aberto,2026-06-02T21:34:41.527Z,Diário Oficial de Gov Bahia (SEC),A definir,23154.14
2026-06-06T23:39:37.299Z,Concursos com vagas para Cirurgião - Dentista,"Concursos com vagas para Cirurgião - Dentista ... AMAZUL - Amazônia Azul Tecnologia de Defesa S.A.. 238 vagas até R$ 6110,00. Vários Cargos Técnico / Superior.",Gov Bahia (SEC),Médio,Dentista / Odontologia,1660,2026-01-08T00:00:00.000Z,2026-08-27T00:00:00.000Z,https://www.pciconcursos.com.br/vagas/cirurgiao-dentista,Aberto,2026-06-02T23:33:25.895Z,Diário Oficial de Gov Bahia (SEC),A definir,23154.14
2026-06-06T23:39:37.299Z,Concurso PM BA e CBM BA Saúde 2026: Oportunidade Estratégica para Cirurgiões-Dentistas - Cursos CD C,Concurso PM BA e CBM BA Saúde 2026 para dentistas. Veja oportunidades ... O dentista militar também participa de inspeções e perícias ...,Gov Bahia (SEC),Superior,Dentista / Odontologia,12,2026-06-04T23:33:25.895Z,2026-06-21T23:33:25.895Z,https://cdconcursos.com.br/blog/concurso-pm-ba-e-cbm-ba-saude-2026-oportunidade-estrategica-para-cirurgioes-dentistas/,Aberto,2026-06-02T23:33:25.895Z,Diário Oficial de Gov Bahia (SEC),Instituto AOCP,11006.5
2026-06-07T05:02:31.924Z,Concurso SESAB Bahia 2026 - Vagas para Cirurgião-Dentista e Saúde Bucal,Secretaria de Saúde da Bahia lança concurso com oportunidades de nível superior para Odontólogo e Cirurgião-Dentista Bucomaxilofacial para atuação em hospitais estaduais e policlínicas. Banca IBFC.,Gov Bahia (SESAB),Superior,Dentista / Odontologia,65,2026-06-04T05:02:31.922Z,2026-06-22T05:02:31.922Z,https://www.saude.ba.gov.br/institucional/concursos/,Aberto,2026-06-01T05:02:31.922Z,Diário Oficial de Gov Bahia (SESAB),IBFC,6800
2026-06-07T09:43:52.323Z,Concurso SESAB Bahia 2026 - Vagas para Cirurgião-Dentista e Saúde Bucal,Secretaria de Saúde da Bahia lança concurso com oportunidades de nível superior para Odontólogo e Cirurgião-Dentista Bucomaxilofacial para atuação em hospitais estaduais e policlínicas. Banca IBFC.,Gov Bahia (SESAB),Superior,Dentista / Odontologia,65,2026-06-04T09:43:52.321Z,2026-06-22T09:43:52.321Z,https://www.saude.ba.gov.br/institucional/concursos/,Aberto,2026-06-01T09:43:52.321Z,Diário Oficial de Gov Bahia (SESAB),IBFC,6800
2026-06-07T12:06:57.460Z,Concurso SESAB Bahia 2026 - Vagas para Cirurgião-Dentista e Saúde Bucal,Secretaria de Saúde da Bahia lança concurso com oportunidades de nível superior para Odontólogo e Cirurgião-Dentista Bucomaxilofacial para atuação em hospitais estaduais e policlínicas. Banca IBFC.,Gov Bahia (SESAB),Superior,Dentista / Odontologia,65,2026-06-04T12:06:57.459Z,2026-06-22T12:06:57.459Z,https://www.saude.ba.gov.br/institucional/concursos/,Aberto,2026-06-01T12:06:57.459Z,Diário Oficial de Gov Bahia (SESAB),IBFC,6800
2026-06-07T14:25:39.441Z,Concurso SESAB Bahia 2026 - Vagas para Cirurgião-Dentista e Saúde Bucal,Secretaria de Saúde da Bahia lança concurso com oportunidades de nível superior para Odontólogo e Cirurgião-Dentista Bucomaxilofacial para atuação em hospitais estaduais e policlínicas. Banca IBFC.,Gov Bahia (SESAB),Superior,Dentista / Odontologia,65,2026-06-04T14:25:39.439Z,2026-06-22T14:25:39.439Z,https://www.saude.ba.gov.br/institucional/concursos/,Aberto,2026-06-01T14:25:39.439Z,Diário Oficial de Gov Bahia (SESAB),IBFC,6800
2026-06-07T15:49:39.636Z,Concurso SESAB Bahia 2026 - Vagas para Cirurgião-Dentista e Saúde Bucal,Secretaria de Saúde da Bahia lança concurso com oportunidades de nível superior para Odontólogo e Cirurgião-Dentista Bucomaxilofacial para atuação em hospitais estaduais e policlínicas. Banca IBFC.,Gov Bahia (SESAB),Superior,Dentista / Odontologia,65,2026-06-04T15:49:39.634Z,2026-06-22T15:49:39.634Z,https://www.saude.ba.gov.br/institucional/concursos/,Aberto,2026-06-01T15:49:39.634Z,Diário Oficial de Gov Bahia (SESAB),IBFC,6800
2026-06-07T17:45:11.100Z,Concurso SESAB Bahia 2026 - Vagas para Cirurgião-Dentista e Saúde Bucal,Secretaria de Saúde da Bahia lança concurso com oportunidades de nível superior para Odontólogo e Cirurgião-Dentista Bucomaxilofacial para atuação em hospitais estaduais e policlínicas. Banca IBFC.,Gov Bahia (SESAB),Superior,Dentista / Odontologia,65,2026-06-04T17:45:11.098Z,2026-06-22T17:45:11.098Z,https://www.saude.ba.gov.br/institucional/concursos/,Aberto,2026-06-01T17:45:11.098Z,Diário Oficial de Gov Bahia (SESAB),IBFC,6800
2026-06-07T19:53:00.970Z,Concurso SESAB Bahia 2026 - Vagas para Cirurgião-Dentista e Saúde Bucal,Secretaria de Saúde da Bahia lança concurso com oportunidades de nível superior para Odontólogo e Cirurgião-Dentista Bucomaxilofacial para atuação em hospitais estaduais e policlínicas. Banca IBFC.,Gov Bahia (SESAB),Superior,Dentista / Odontologia,65,2026-06-04T19:53:00.969Z,2026-06-22T19:53:00.969Z,https://www.saude.ba.gov.br/institucional/concursos/,Aberto,2026-06-01T19:53:00.969Z,Diário Oficial de Gov Bahia (SESAB),IBFC,6800
2026-06-07T21:42:16.836Z,Concurso SESAB Bahia 2026 - Vagas para Cirurgião-Dentista e Saúde Bucal,Secretaria de Saúde da Bahia lança concurso com oportunidades de nível superior para Odontólogo e Cirurgião-Dentista Bucomaxilofacial para atuação em hospitais estaduais e policlínicas. Banca IBFC.,Gov Bahia (SESAB),Superior,Dentista / Odontologia,65,2026-06-04T21:42:16.834Z,2026-06-22T21:42:16.834Z,https://www.saude.ba.gov.br/institucional/concursos/,Aberto,2026-06-01T21:42:16.834Z,Diário Oficial de Gov Bahia (SESAB),IBFC,6800
2026-06-07T23:34:42.823Z,Concurso SESAB Bahia 2026 - Vagas para Cirurgião-Dentista e Saúde Bucal,Secretaria de Saúde da Bahia lança concurso com oportunidades de nível superior para Odontólogo e Cirurgião-Dentista Bucomaxilofacial para atuação em hospitais estaduais e policlínicas. Banca IBFC.,Gov Bahia (SESAB),Superior,Dentista / Odontologia,65,2026-06-04T23:34:42.821Z,2026-06-22T23:34:42.821Z,https://www.saude.ba.gov.br/institucional/concursos/,Aberto,2026-06-01T23:34:42.821Z,Diário Oficial de Gov Bahia (SESAB),IBFC,6800
